Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,56.700000762939,56.5,56.599998474121,56.200000762939,56.200000762939,56.099998474121,56.200000762939,56.200000762939,56.099998474121,56.099998474121,56.5,56.400001525879,54.400001525879,56,54,56,55.700000762939
Albania,52.700000762939,52.299999237061,52.400001525879,52.700000762939,52.799999237061,52.599998474121,52.400001525879,52.099998474121,52.099998474121,51.900001525879,51.799999237061,51.799999237061,51.799999237061,51.700000762939,51.5,51.400001525879,51.400001525879
Algeria,39.400001525879,38.900001525879,39.400001525879,39.400001525879,38.099998474121,38.900001525879,39.700000762939,39.5,39.400001525879,38.599998474121,40.400001525879,41.5,42.799999237061,46.400001525879,48,50,50.5
Angola,75.800003051758,75.800003051758,75.5,75.900001525879,75.800003051758,75.900001525879,75.699996948242,75.599998474121,75.599998474121,75.5,75.5,75.599998474121,75.5,75.5,75.599998474121,75.5,75.699996948242
Argentina,53.599998474121,53.799999237061,53.700000762939,53.799999237061,53.5,54.400001525879,54.900001525879,55,54.900001525879,55.5,55.599998474121,55.400001525879,57.299999237061,57.700000762939,58.099998474121,58.400001525879,58.400001525879
Armenia,39.299999237061,38.200000762939,37.400001525879,37.400001525879,37.099998474121,38.099998474121,37.400001525879,38.099998474121,37.200000762939,37.799999237061,38.599998474121,39.299999237061,39.5,38.900001525879,39.5,39.400001525879,40.099998474121
Australia,57.200000762939,56.200000762939,55.900001525879,56.900001525879,58.400001525879,58.200000762939,57.900001525879,58.299999237061,58.700000762939,59.400001525879,59.200000762939,59.5,59.900001525879,60.099998474121,61.200000762939,61.599998474121,61.5
Austria,54.200000762939,54.900001525879,54.700000762939,56.400001525879,56.700000762939,55.799999237061,55.799999237061,55.599998474121,56,56.099998474121,56.099998474121,56.5,56.700000762939,55.700000762939,56.200000762939,57.099998474121,57.099998474121
Azerbaijan,56.900001525879,56.799999237061,56.599998474121,56.200000762939,55.400001525879,55.799999237061,56.599998474121,56.700000762939,57,57.400001525879,57.5,57.5,57.900001525879,59.400001525879,59,59.299999237061,60.900001525879
Bahamas,63,61.299999237061,62.799999237061,62.700000762939,64.5,64.099998474121,65.199996948242,66.599998474121,66.699996948242,67,67.099998474121,65.599998474121,64.400001525879,64.900001525879,65,66.900001525879,66.599998474121
Bahrain,61.200000762939,61.400001525879,61.5,61.799999237061,61.900001525879,61.900001525879,61.599998474121,61.599998474121,61.599998474121,61.599998474121,61.700000762939,61.5,61.400001525879,61.200000762939,61,60.599998474121,60.400001525879
Bangladesh,74.5,72.5,73,71.800003051758,70.5,70.400001525879,69.900001525879,69.900001525879,69.300003051758,68.900001525879,68.900001525879,68.900001525879,68.5,68.300003051758,68.599998474121,68.599998474121,68.099998474121
Barbados,56.900001525879,53.700000762939,52.5,54.900001525879,58,61.200000762939,61.400001525879,63.099998474121,64.400001525879,65.300003051758,65,64.599998474121,64.099998474121,65.599998474121,66.099998474121,66.400001525879,66.900001525879
Belarus,59.200000762939,58.299999237061,57.400001525879,56.599998474121,55.700000762939,55.200000762939,55.099998474121,54,52.799999237061,53,53,53.099998474121,53.299999237061,53.599998474121,53.700000762939,53.700000762939,53.400001525879
Belgium,45.700000762939,46.099998474121,45.5,45.299999237061,45.599998474121,45.5,45.799999237061,45.900001525879,47.299999237061,48.700000762939,47.599998474121,47.5,47.200000762939,48.099998474121,48.5,48.200000762939,48.599998474121
Belize,47.599998474121,49.200000762939,51.299999237061,52.299999237061,51.700000762939,51.099998474121,52.099998474121,51.5,52.700000762939,54.200000762939,55.799999237061,55.599998474121,55.900001525879,56.099998474121,56.099998474121,57.5,56.799999237061
Benin,70.599998474121,72.099998474121,72.300003051758,72.5,72.599998474121,72.599998474121,72.5,72.300003051758,72.199996948242,72.099998474121,72,72,71.900001525879,71.800003051758,71.699996948242,71.599998474121,71.599998474121
Bhutan,53.700000762939,52.5,52,51,50.299999237061,50.200000762939,50.099998474121,50.200000762939,50.400001525879,51.400001525879,52.700000762939,53.599998474121,55.900001525879,57.400001525879,59.099998474121,59.599998474121,58.400001525879
Bolivia,61.5,61,61,60.900001525879,60.700000762939,61.799999237061,67.599998474121,67.699996948242,67.699996948242,67.300003051758,67.300003051758,67.800003051758,68.300003051758,68.900001525879,69.400001525879,70.099998474121,70.400001525879
Bosnia and Herzegovina,51.599998474121,50.099998474121,48,47.599998474121,47.700000762939,47.900001525879,47,46.099998474121,45.299999237061,44.400001525879,45.099998474121,44.200000762939,44.700000762939,43.099998474121,44.200000762939,41.099998474121,41.200000762939
Botswana,48.900001525879,48,47,45.299999237061,44,42.799999237061,45.700000762939,48.200000762939,48.900001525879,49.5,45.700000762939,44,42.400001525879,40.200000762939,37.799999237061,45.5,46
